ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
014.81,2,,,,2,,,,,,,,,,,,,,,,,,,,,
014.83,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
014.84,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,
014.85,4,1,,1,1,,1,,,,,,,,,,,,,,,,,,,
014.86,4,1,,,,2,,,1,,,,,,,,,,,,,,,,,
015.00,57,8,12,7,10,6,3,5,3,2,,,,1,,,,,,,,,,,,
015.01,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.02,4,1,,1,,2,,,,,,,,,,,,,,,,,,,,
015.03,3,3,,,,,,,,,,,,,,,,,,,,,,,,
015.04,16,9,1,1,1,1,1,,1,,,,1,,,,,,,,,,,,,
015.05,4,2,1,,1,,,,,,,,,,,,,,,,,,,,,
015.06,5,3,1,,,,1,,,,,,,,,,,,,,,,,,,
015.10,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.14,2,1,,,1,,,,,,,,,,,,,,,,,,,,,
015.15,1,,,,,,1,,,,,,,,,,,,,,,,,,,
015.20,2,1,,,,,,,,,,,1,,,,,,,,,,,,,
015.23,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.70,1,,1,,,,,,,,,,,,,,,,,,,,,,,
015.80,2,1,,,,,1,,,,,,,,,,,,,,,,,,,
015.83,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.84,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.85,2,2,,,,,,,,,,,,,,,,,,,,,,,,
015.90,6,,1,2,,1,1,,1,,,,,,,,,,,,,,,,,
016.00,7,,2,2,,1,,1,1,,,,,,,,,,,,,,,,,
016.01,1,,,,1,,,,,,,,,,,,,,,,,,,,,
016.04,1,,,,,,,,,,,,,,1,,,,,,,,,,,
016.06,1,,,,1,,,,,,,,,,,,,,,,,,,,,
016.10,3,2,,,1,,,,,,,,,,,,,,,,,,,,,
016.13,1,,,1,,,,,,,,,,,,,,,,,,,,,,
016.20,1,1,,,,,,,,,,,,,,,,,,,,,,,,
016.30,2,,1,1,,,,,,,,,,,,,,,,,,,,,,
016.34,1,,,1,,,,,,,,,,,,,,,,,,,,,,
016.50,1,,1,,,,,,,,,,,,,,,,,,,,,,,
016.54,1,,,1,,,,,,,,,,,,,,,,,,,,,,
016.64,1,,,,1,,,,,,,,,,,,,,,,,,,,,
016.74,1,,1,,,,,,,,,,,,,,,,,,,,,,,
016.90,8,,,2,2,1,2,,,,,,1,,,,,,,,,,,,,
016.94,1,,,,1,,,,,,,,,,,,,,,,,,,,,
016.95,1,,,,,,,1,,,,,,,,,,,,,,,,,,
017.00,5,,,1,,1,1,1,,,,,,1,,,,,,,,,,,,
017.03,1,,,,1,,,,,,,,,,,,,,,,,,,,,
017.04,4,,1,1,1,,1,,,,,,,,,,,,,,,,,,,
017.06,1,,1,,,,,,,,,,,,,,,,,,,,,,,
017.20,23,2,6,4,4,3,2,1,,,,,,1,,,,,,,,,,,,
017.21,1,1,,,,,,,,,,,,,,,,,,,,,,,,
017.22,2,2,,,,,,,,,,,,,,,,,,,,,,,,
017.23,3,,1,1,,1,,,,,,,,,,,,,,,,,,,,
017.24,7,4,1,,,,1,,1,,,,,,,,,,,,,,,,,
017.25,7,4,2,,1,,,,,,,,,,,,,,,,,,,,,
017.26,1,,,,1,,,,,,,,,,,,,,,,,,,,,
017.30,6,,1,,1,,2,,1,,1,,,,,,,,,,,,,,,
017.35,1,1,,,,,,,,,,,,,,,,,,,,,,,,
017.40,2,,1,1,,,,,,,,,,,,,,,,,,,,,,
017.52,1,,1,,,,,,,,,,,,,,,,,,,,,,,
017.60,2,,1,,,,1,,,,,,,,,,,,,,,,,,,
017.66,1,,,,1,,,,,,,,,,,,,,,,,,,,,
017.70,1,,,,,1,,,,,,,,,,,,,,,,,,,,
017.90,11,1,1,2,2,1,2,,1,,,,,1,,,,,,,,,,,,
017.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,
017.93,3,,1,,,,,1,,,,,,,,,,1,,,,,,,,
017.94,1,,1,,,,,,,,,,,,,,,,,,,,,,,
017.95,4,2,1,,,,,,,1,,,,,,,,,,,,,,,,
017.96,2,1,,,1,,,,,,,,,,,,,,,,,,,,,
018.00,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,
018.03,5,4,1,,,,,,,,,,,,,,,,,,,,,,,
018.04,4,4,,,,,,,,,,,,,,,,,,,,,,,,
018.05,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
018.06,5,3,2,,,,,,,,,,,,,,,,,,,,,,,
018.80,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,
018.83,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
018.84,1,1,,,,,,,,,,,,,,,,,,,,,,,,
